,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
2407,1,4600000.0,31.0,18.0,NA,5.803142304729002,NA,0.0,1.0,1.0,0.0,3.0,46.0,1.0
2408,3,9770000.0,56.4,43.0,11.0,4.927332002859141,10.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0
2409,2,9250000.0,53.0,30.5,8.6,11.940278808404111,3.0,1.0,0.0,1.0,1.0,11.0,12.0,0.0
2410,1,5640000.0,35.8,16.0,8.0,5.708269865888753,11.0,1.0,1.0,1.0,1.0,7.0,46.0,1.0
2411,1,3224000.0,24.8,11.4,6.0,14.067249641809626,8.0,1.0,1.0,0.0,1.0,17.0,20.0,0.0
2412,1,3250000.0,24.8,18.0,NA,14.078331769215048,NA,0.0,1.0,1.0,1.0,14.0,20.0,1.0
2413,1,3450000.0,31.0,23.5,7.1,19.712092528487485,10.0,0.0,1.0,1.0,1.0,6.0,8.0,1.0
2414,1,3600000.0,28.7,18.0,NA,15.253337487608439,20.0,1.0,1.0,0.0,1.0,4.0,6.0,0.0
2415,1,3650000.0,23.0,14.6,4.0,16.511789501949547,14.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0
2416,1,3950000.0,33.0,27.0,NA,15.253337487608439,24.0,1.0,1.0,0.0,1.0,7.0,7.0,0.0
2417,1,4061875.0,33.5,NA,NA,14.078331769215048,8.0,1.0,1.0,1.0,0.0,2.0,20.0,1.0
2418,1,4098250.0,33.8,NA,NA,14.078331769215048,8.0,1.0,1.0,1.0,0.0,19.0,20.0,1.0
2419,1,4200000.0,40.1,17.0,12.5,19.1734886471877,NA,0.0,0.0,0.0,1.0,4.0,9.0,0.0
2420,1,4331000.0,35.5,17.0,11.0,14.089359958842577,NA,0.0,1.0,1.0,1.0,4.0,17.0,1.0
2421,1,4400000.0,35.2,19.5,7.5,16.007696514472187,NA,0.0,0.0,1.0,0.0,1.0,4.0,0.0
2422,1,4400000.0,32.0,17.0,9.0,10.8321678348157,9.0,0.0,1.0,1.0,1.0,11.0,18.0,1.0
2423,1,4400000.0,33.0,19.0,6.0,15.664317558752968,20.0,0.0,0.0,1.0,0.0,8.0,9.0,0.0
2424,1,4414000.0,28.5,15.0,NA,5.803142304729002,NA,0.0,1.0,1.0,0.0,7.0,46.0,1.0
2425,1,4421648.0,40.7,NA,NA,14.078331769215048,8.0,1.0,1.0,1.0,0.0,14.0,20.0,1.0
2426,1,4443376.0,40.9,NA,NA,14.078331769215048,8.0,1.0,1.0,1.0,0.0,3.0,20.0,1.0
2427,1,4446000.0,39.7,18.0,12.0,14.089359958842577,NA,0.0,1.0,1.0,1.0,4.0,20.0,1.0
2428,1,4475000.0,32.6,18.9,5.9,16.173392273630686,5.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0
2429,1,4500000.0,38.0,16.0,9.0,13.759805932236983,5.0,1.0,1.0,1.0,1.0,15.0,17.0,1.0
2430,1,4500000.0,33.0,20.0,10.0,15.253337487608439,20.0,1.0,1.0,0.0,0.0,4.0,6.0,0.0
2431,1,4500000.0,30.1,18.4,5.8,10.223011973588477,NA,0.0,0.0,0.0,0.0,1.0,5.0,0.0
2432,1,4500000.0,32.6,18.8,6.7,15.664317558752968,15.0,0.0,0.0,1.0,0.0,9.0,9.0,0.0
2433,1,4530288.0,41.7,NA,NA,14.078331769215048,8.0,1.0,1.0,1.0,0.0,17.0,20.0,1.0
2434,1,4550000.0,33.0,17.0,7.0,13.855827819003538,17.0,1.0,0.0,0.0,1.0,9.0,12.0,0.0
2435,1,4600000.0,31.0,18.0,NA,5.803142304729002,NA,0.0,1.0,1.0,0.0,3.0,46.0,1.0
2436,3,8500000.0,65.0,40.0,10.0,17.44855142043154,NA,0.0,0.0,1.0,1.0,8.0,9.0,0.0
2437,3,23200000.0,93.0,68.0,12.0,10.624159233944932,3.0,0.0,1.0,1.0,1.0,9.0,29.0,0.0
2438,2,21330000.0,79.0,43.0,12.0,9.580752611680515,6.0,1.0,1.0,0.0,1.0,11.0,13.0,0.0
2439,1,3050000.0,13.0,9.0,2.0,9.36945862929236,15.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0
2440,1,3300000.0,13.3,9.0,1.0,16.366554216915958,5.0,1.0,1.0,1.0,0.0,3.0,5.0,0.0
2441,1,3600000.0,15.0,13.0,2.0,17.11487893984176,NA,0.0,1.0,0.0,0.0,5.0,6.0,0.0
2442,1,3600000.0,16.0,14.0,NA,14.716996360034642,10.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0
2443,1,3800000.0,24.5,17.0,4.0,11.719176616119672,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2444,1,3990000.0,49.0,22.0,10.0,19.84721877192449,5.0,0.0,1.0,1.0,1.0,22.0,25.0,1.0
2445,1,4000000.0,27.0,19.0,4.5,14.564196526709072,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2446,2,4000000.0,38.2,24.0,7.0,16.346721137796283,18.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0
2447,1,4100000.0,24.0,16.0,4.0,11.719176616119672,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2448,1,4100000.0,24.0,16.0,4.0,11.719176616119672,12.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0
2449,2,4100000.0,46.0,32.0,6.5,19.402395718899548,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2450,1,4150000.0,24.0,14.0,4.5,13.798490165310644,14.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0
2451,1,4200000.0,36.0,18.0,9.0,17.205548371211044,10.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0
2452,1,4300000.0,31.0,19.0,6.0,11.889473755844124,23.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0
2453,1,4300000.0,25.0,14.0,4.0,11.166249124152435,18.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0
2454,1,4300000.0,28.4,17.0,5.7,12.853908847176719,10.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0
2455,1,4400000.0,32.0,20.0,6.0,14.745396179891863,5.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0
2456,1,4400000.0,33.0,19.4,6.0,18.780775367857647,29.0,1.0,1.0,1.0,1.0,5.0,9.0,0.0
2457,1,4400000.0,40.0,21.0,9.3,17.367821842087928,NA,0.0,0.0,1.0,0.0,1.0,12.0,0.0
2458,1,4450000.0,34.7,20.9,7.0,18.50702884438481,10.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0
2459,1,4450000.0,31.7,21.0,6.0,15.162794860361693,NA,0.0,1.0,1.0,0.0,1.0,9.0,0.0
2460,1,4500000.0,32.0,26.0,6.0,17.44366299853954,12.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0
2461,1,4500000.0,30.4,18.6,5.6,13.994575427871217,10.0,1.0,0.0,1.0,1.0,4.0,5.0,0.0
2462,1,4500000.0,33.5,17.5,8.0,18.486999232134796,5.0,0.0,0.0,1.0,1.0,12.0,12.0,0.0
2463,1,4500000.0,36.0,23.0,7.0,19.34979210789948,20.0,1.0,0.0,1.0,1.0,7.0,9.0,0.0
2464,3,8500000.0,65.0,40.0,10.0,17.44855142043154,NA,0.0,0.0,1.0,1.0,8.0,9.0,0.0
2465,2,6000000.0,43.0,30.0,6.0,19.317876380085384,10.0,0.0,0.0,1.0,1.0,6.0,9.0,0.0
2466,1,7200000.0,40.8,18.0,10.0,15.05091250685855,12.0,1.0,0.0,0.0,1.0,9.0,14.0,0.0
2467,1,3050000.0,13.0,9.0,2.0,9.36945862929236,15.0,1.0,1.0,1.0,1.0,5.0,5.0,0.0
2468,1,3300000.0,13.3,9.0,1.0,16.366554216915958,5.0,1.0,1.0,1.0,0.0,3.0,5.0,0.0
2469,1,3600000.0,15.0,13.0,2.0,17.11487893984176,NA,0.0,1.0,0.0,0.0,5.0,6.0,0.0
2470,1,3600000.0,16.0,14.0,NA,14.716996360034642,10.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0
2471,1,3800000.0,24.5,17.0,4.0,11.719176616119672,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2472,1,3990000.0,49.0,22.0,10.0,19.84721877192449,5.0,0.0,1.0,1.0,1.0,22.0,25.0,1.0
2473,1,4000000.0,27.0,19.0,4.5,14.564196526709072,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2474,2,4000000.0,38.2,24.0,7.0,16.346721137796283,18.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0
2475,1,4100000.0,24.0,16.0,4.0,11.719176616119672,15.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0
2476,1,4100000.0,24.0,16.0,4.0,11.719176616119672,12.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0
2477,2,4100000.0,46.0,32.0,6.5,19.402395718899548,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
2478,1,4150000.0,24.0,14.0,4.5,13.798490165310644,14.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0
2479,1,4200000.0,36.0,18.0,9.0,17.205548371211044,10.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0
2480,1,4300000.0,31.0,19.0,6.0,11.889473755844124,23.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0
2481,1,4300000.0,25.0,14.0,4.0,11.166249124152435,18.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0
2482,1,4300000.0,28.4,17.0,5.7,12.853908847176719,10.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0
2483,1,4400000.0,32.0,20.0,6.0,14.745396179891863,5.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0
2484,1,4400000.0,33.0,19.4,6.0,18.780775367857647,29.0,1.0,1.0,1.0,1.0,5.0,9.0,0.0
2485,1,4400000.0,40.0,21.0,9.3,17.367821842087928,NA,0.0,0.0,1.0,0.0,1.0,12.0,0.0
2486,1,4450000.0,34.7,20.9,7.0,18.50702884438481,10.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0
